datetimestr,Demand,CustomerID
01MAR2017:01:30,3401.4,1515
01MAR2017:01:45,3397.5,1515
01MAR2017:02:00,3381.4,1515
01MAR2017:02:15,3423.0,1515
01MAR2017:02:30,3409.1,1515
01MAR2017:02:45,3404.0,1515
01MAR2017:03:00,3403.6,1515
01MAR2017:03:15,3456.8,1515
01MAR2017:03:30,3438.8,1515
01MAR2017:03:45,3458.1,1515
01MAR2017:04:00,3465.6,1515
01MAR2017:04:15,3540.0,1515
01MAR2017:04:30,3591.9,1515
01MAR2017:04:45,3617.8,1515
01MAR2017:05:00,3650.4,1515
01MAR2017:05:15,3844.0,1515
01MAR2017:05:30,3911.5,1515
01MAR2017:05:45,3937.8,1515
01MAR2017:06:00,4035.2,1515
01MAR2017:06:15,4322.6,1515
01MAR2017:06:30,4390.2,1515
01MAR2017:06:45,4353.8,1515
01MAR2017:07:00,4409.1,1515
01MAR2017:07:15,4417.3,1515
01MAR2017:07:30,4471.3,1515
01MAR2017:07:45,4477.8,1515
01MAR2017:08:00,4523.3,1515
01MAR2017:08:15,4494.9,1515
01MAR2017:08:30,4549.5,1515
01MAR2017:08:45,4577.4,1515
01MAR2017:09:00,4657.7,1515
01MAR2017:09:15,4635.0,1515
01MAR2017:09:30,4643.4,1515
01MAR2017:09:45,4627.1,1515
01MAR2017:10:00,4707.4,1515
01MAR2017:10:15,4678.9,1515
01MAR2017:10:30,4730.8,1515
01MAR2017:10:45,4748.2,1515
01MAR2017:11:00,4792.8,1515
01MAR2017:11:15,4744.4,1515
01MAR2017:11:30,4795.0,1515
01MAR2017:11:45,4778.2,1515
01MAR2017:12:00,4822.7,1515
01MAR2017:12:15,4709.7,1515
01MAR2017:12:30,4797.0,1515
01MAR2017:12:45,4814.5,1515
01MAR2017:13:00,4836.7,1515
01MAR2017:13:15,4836.6,1515
01MAR2017:13:30,4812.7,1515
01MAR2017:13:45,4857.9,1515
01MAR2017:14:00,4831.6,1515
01MAR2017:14:15,4817.8,1515
01MAR2017:14:30,4823.0,1515
01MAR2017:14:45,4800.0,1515
01MAR2017:15:00,4844.6,1515
01MAR2017:15:15,4796.3,1515
01MAR2017:15:30,4846.1,1515
01MAR2017:15:45,4850.1,1515
01MAR2017:16:00,4857.2,1515
01MAR2017:16:15,4807.1,1515
