,Demand,DemandCharge,EnergyCharge,FacilityCharge,TotalCharge,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,Demand,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,DemandCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,EnergyCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,FacilityCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge,TotalCharge
month,entire year,entire year,entire year,entire year,entire year,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
CustomerID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFBTK7,239707.20,5128.48,17781.82,10271.30,33181.59,19953.60,18610.40,20945.60,19159.20,20920.00,19790.40,19628.00,20714.40,19736.80,20628.00,19946.40,19674.40,0,0,0,0,0,1322.69,1235.42,1247.68,1322.69,0,0,0,1418.14,1322.29,1496.84,1358.52,1490.69,1611.80,1550.15,1692.52,1567.92,1466.39,1416.66,1389.89,864.42,864.42,915.26,915.26,864.42,864.42,762.72,813.57,864.42,864.42,813.57,864.42,2282.56,2186.70,2412.10,2273.78,2355.10,3798.90,3548.30,3753.77,3755.03,2330.81,2230.23,2254.30
UFTPFT,295207.20,10154.50,22555.28,16017.12,48726.90,18955.20,17575.20,22105.60,22224.00,24859.20,28732.00,34226.40,34368.00,28889.60,24532.00,19441.60,19298.40,0,0,0,0,0,2457.12,2495.36,2594.88,2607.14,0,0,0,1353.42,1256.63,1589.24,1582.95,1783.45,2431.69,2779.47,2884.97,2351.13,1765.99,1397.29,1379.05,1118.66,1169.50,1372.90,1169.50,1372.90,1474.59,1525.44,1576.29,1576.29,1423.74,1169.50,1067.81,2472.07,2426.13,2962.14,2752.46,3156.35,6363.40,6800.27,7056.14,6534.56,3189.73,2566.80,2446.85
UFWFY1,282921.60,7522.85,21063.53,12813.70,41400.07,21816.00,20328.00,23640.00,23740.80,23882.40,24998.40,25869.60,26901.60,25212.00,24369.60,21472.80,20690.40,0,0,0,0,0,1759.01,1759.01,1984.03,2020.80,0,0,0,1536.49,1430.75,1676.09,1670.50,1695.66,2046.67,2054.71,2221.80,2022.83,1732.96,1523.82,1451.26,915.26,915.26,1067.81,1067.81,1067.81,1067.81,1067.81,1220.35,1220.35,1220.35,1067.81,915.26,2451.75,2346.01,2743.89,2738.31,2763.47,4873.48,4881.53,5426.18,5263.98,2953.31,2591.63,2366.52
UGR5GH,389776.00,10668.77,29134.43,18508.67,58311.87,30494.40,26761.60,31396.80,31198.40,32406.40,33543.20,34708.00,37230.40,35672.00,35164.80,30919.20,30280.80,0,0,0,0,0,2570.37,2507.62,2758.62,2832.16,0,0,0,2164.41,1896.29,2240.69,2209.98,2307.56,2758.52,2776.98,3084.67,2860.13,2504.98,2193.88,2136.34,1322.05,1271.20,1372.90,1627.14,1525.44,1576.29,1576.29,1728.83,1728.83,1881.38,1576.29,1322.05,3486.46,3167.49,3613.58,3837.11,3833.00,6905.18,6860.89,7572.13,7421.12,4386.35,3770.17,3458.39
UGU3VX,425576.00,6071.71,30403.18,11389.95,47864.85,36378.40,32688.00,36040.80,35146.40,36451.20,34946.40,35509.60,35716.00,34416.00,35720.00,35307.20,37256.00,0,0,0,0,0,1558.50,1483.49,1546.24,1483.49,0,0,0,2526.21,2270.03,2516.51,2435.70,2542.65,2664.88,2633.43,2732.18,2568.60,2485.43,2453.95,2573.62,966.11,966.11,966.11,966.11,966.11,915.26,864.42,915.26,915.26,915.26,966.11,1067.81,3492.32,3236.14,3482.62,3401.81,3508.76,5138.64,4981.33,5193.68,4967.35,3400.70,3420.06,3641.43
UHKTNB,263293.60,8611.20,19945.74,13983.20,42540.14,19276.80,16731.20,20022.40,19905.60,20370.40,22603.20,26945.60,27875.20,24946.40,24919.20,19966.40,19731.20,0,0,0,0,0,1896.77,2134.05,2296.32,2284.06,0,0,0,1351.24,1175.84,1425.56,1408.99,1451.54,1906.94,2217.78,2371.28,2047.60,1776.31,1420.00,1392.66,1118.66,1016.96,1067.81,1016.96,1067.81,1169.50,1322.05,1423.74,1423.74,1372.90,1016.96,966.11,2469.89,2192.80,2493.37,2425.95,2519.35,4973.21,5673.88,6091.35,5755.41,3149.20,2436.96,2358.78
UIJW59,387513.68,10389.82,29047.16,18661.22,58098.20,30805.68,28050.40,31176.80,29792.00,34359.20,36136.80,36704.80,37434.40,33147.20,33504.00,29138.40,27264.00,0,0,0,0,0,2634.59,2535.07,2610.08,2610.08,0,0,0,2192.24,1996.83,2224.20,2108.98,2449.90,2975.42,2929.72,3091.19,2678.72,2386.25,2072.12,1941.59,1423.74,1423.74,1474.59,1372.90,1576.29,1677.98,1627.14,1677.98,1677.98,1677.98,1525.44,1525.44,3615.98,3420.57,3698.80,3481.88,4026.18,7287.99,7091.93,7379.26,6966.79,4064.24,3597.56,3467.03
UJ31DV,556818.40,16119.84,42577.71,29440.99,88138.55,40842.40,38594.40,47081.60,43800.80,46390.40,46940.00,49648.80,54182.40,52137.60,50720.00,42945.60,43534.40,0,0,0,0,0,3859.23,4084.26,4119.55,4056.80,0,0,0,2913.50,2758.21,3382.62,3125.70,3326.35,4011.52,4157.83,4660.26,4360.02,3661.71,3094.54,3125.46,2033.92,2135.62,2237.31,2288.16,2288.16,2491.55,2644.10,2796.64,2847.49,2694.94,2542.40,2440.70,4947.42,4893.83,5619.93,5413.86,5614.51,10362.30,10886.18,11576.45,11264.31,6356.66,5636.94,5566.16
UKAF0F,239134.00,7522.85,17923.84,11923.86,37370.54,17763.20,14928.40,17552.80,18284.80,18672.80,22628.40,25408.40,26284.00,22968.80,20974.00,17057.20,16611.20,0,0,0,0,0,1759.01,1815.63,2014.67,1933.54,0,0,0,1239.78,1047.02,1249.13,1294.82,1329.81,1872.82,2016.35,2177.19,1830.77,1493.82,1206.08,1166.26,838.99,762.72,940.69,940.69,915.26,1067.81,1118.66,1220.35,1169.50,1194.93,940.69,813.57,2078.77,1809.74,2189.82,2235.50,2245.08,4699.63,4950.64,5412.21,4933.81,2688.74,2146.77,1979.83
UM97SV,551439.20,17054.24,41549.00,25576.54,84179.78,39027.20,36741.60,44104.80,42190.40,45665.60,52304.80,56135.20,56163.20,48945.60,47999.20,41719.20,40442.40,0,0,0,0,0,4266.62,4167.10,4516.16,4104.35,0,0,0,2756.35,2589.99,3135.94,2981.45,3255.48,4385.22,4553.59,4718.19,3950.58,3415.28,2952.90,2854.03,1677.98,1627.14,1932.22,1881.38,2288.16,2593.25,2542.40,2745.79,2491.55,2237.31,1881.38,1677.98,4434.34,4217.13,5068.16,4862.83,5543.64,11245.09,11263.10,11980.14,10546.49,5652.59,4834.27,4532.01
UNO9MX,632931.12,17967.20,48530.46,33163.07,99660.73,43905.60,44852.16,59075.04,53987.28,54165.60,57101.52,60474.72,63260.16,55148.40,55679.76,43577.76,41703.12,0,0,0,0,0,4364.73,4443.71,4541.95,4616.81,0,0,0,3126.15,3210.97,4253.44,3867.55,3898.00,4918.81,5033.48,5438.12,4683.15,4008.62,3125.58,2966.59,2654.27,2715.28,2776.30,2745.79,2761.05,2806.81,2883.08,2959.35,3005.12,3005.12,2593.25,2257.65,5780.42,5926.25,7029.75,6613.34,6659.05,12090.35,12360.27,12939.42,12305.08,7013.73,5718.83,5224.24
UNRXK5,755081.88,22302.41,57272.25,34520.71,114095.36,50938.56,47655.24,56175.84,56900.76,61068.60,71137.68,84553.80,82072.56,71553.84,68212.56,55575.00,49237.44,0,0,0,0,0,5374.39,5696.63,5968.05,5263.34,0,0,0,3631.34,3409.32,4047.00,4080.74,4369.93,5904.30,6817.50,6845.01,5813.30,4883.66,3970.85,3499.29,2341.55,2417.82,2501.72,2898.34,2997.49,3294.95,3432.24,3577.16,3294.95,3043.25,2547.48,2173.75,5972.89,5827.14,6548.72,6979.07,7367.42,14573.64,15946.36,16390.22,14371.59,7926.91,6518.33,5673.05
UNVW0N,235838.00,6394.54,17555.26,10017.06,33966.86,20002.80,17480.40,19402.00,19068.40,19702.40,20078.80,21464.00,22958.40,21107.20,20764.40,16809.60,16999.60,0,0,0,0,0,1422.21,1578.35,1659.49,1734.50,0,0,0,1398.64,1222.42,1369.30,1341.83,1393.70,1656.19,1717.64,1901.83,1708.05,1473.10,1187.49,1185.06,661.02,661.02,788.14,864.42,813.57,864.42,966.11,1016.96,1067.81,915.26,762.72,635.60,2059.66,1883.44,2157.45,2206.25,2207.27,3942.82,4262.11,4578.28,4510.36,2388.36,1950.21,1820.66
USCLZ3,577152.00,15463.87,43722.81,26390.11,85576.80,46508.80,42767.20,48899.20,45765.60,46998.40,48471.20,54332.80,55002.40,53540.80,51128.00,42264.00,41473.60,0,0,0,0,0,3741.57,3928.35,3865.60,3928.35,0,0,0,3321.05,3048.83,3512.89,3270.53,3379.37,4088.23,4448.88,4645.27,4361.76,3662.91,3030.03,2953.06,2084.77,2084.77,2237.31,2186.46,2135.62,2339.01,2389.86,2339.01,2440.70,2186.46,2237.31,1728.83,5405.82,5133.60,5750.21,5457.00,5514.99,10168.81,10767.09,10849.87,10730.81,5849.37,5267.34,4681.89
USF1Z7,306202.40,8977.41,23423.82,14745.92,47147.15,21483.20,25072.80,32594.40,32400.80,34304.00,38473.60,29298.40,23433.60,20934.40,19859.20,14632.80,13715.20,0,0,0,0,0,2530.66,2530.66,1745.28,2170.82,0,0,0,1525.03,1795.95,2357.06,2317.55,2479.06,3249.54,2400.89,2048.41,1767.88,1436.72,1058.45,987.26,1067.81,1169.50,1423.74,1423.74,1474.59,1474.59,1474.59,1016.96,1322.05,1067.81,966.11,864.42,2592.84,2965.45,3780.80,3741.30,3953.65,7254.79,6406.14,4810.65,5260.75,2504.53,2024.57,1851.68
UT7E6A,533063.20,15377.60,39789.52,24254.50,79421.62,35224.80,32960.00,42044.80,42045.60,43180.80,47541.60,54376.00,56464.00,49660.80,48930.40,42449.60,38184.80,0,0,0,0,0,3669.50,3732.26,4069.06,3906.78,0,0,0,2488.33,2334.84,2996.51,2964.78,3067.63,3888.10,4290.84,4626.74,3943.16,3471.41,3008.42,2708.76,1525.44,1677.98,1830.53,1677.98,1881.38,2288.16,2339.01,2542.40,2440.70,2135.62,1830.53,2084.77,4013.77,4012.82,4827.03,4642.77,4949.01,9845.77,10362.10,11238.20,10290.65,5607.02,4838.95,4793.53
UUMMS3,632200.00,17805.79,47837.28,29644.38,95287.45,42620.80,40647.20,52315.20,58975.20,62448.00,62312.00,68269.60,58668.80,54320.80,54294.40,40772.80,36555.20,0,0,0,0,0,4502.43,4601.95,4540.67,4160.74,0,0,0,3058.25,2915.19,3760.28,4169.52,4442.98,5134.81,5476.54,4988.96,4492.80,3870.49,2921.36,2606.08,2084.77,2084.77,2389.86,2186.46,2339.01,2694.94,2745.79,2745.79,2745.79,2847.49,2542.40,2237.31,5143.02,4999.96,6150.14,6355.99,6781.99,12332.18,12824.28,12275.42,11399.32,6717.98,5463.76,4843.40
UW52UN,402410.40,14123.55,30697.24,23898.56,68719.35,31077.60,28708.80,33122.40,30552.00,32768.00,34873.60,40296.80,38923.20,36040.80,36961.60,30729.60,28356.00,0,0,0,0,0,3531.74,3481.25,3523.90,3586.66,0,0,0,2205.09,2042.60,2395.34,2193.82,2350.80,2947.92,3276.81,3332.83,3031.81,2661.84,2217.32,2041.04,1525.44,1677.98,1728.83,1728.83,2084.77,2186.46,2237.31,2339.01,2389.86,2542.40,1779.68,1677.98,3730.53,3720.59,4124.17,3922.65,4435.57,8666.13,8995.37,9195.74,9008.32,5204.24,3997.00,3719.03
UWPRCS,548924.00,19021.60,42167.61,35085.12,96274.33,41284.00,36396.00,45096.00,41208.00,46728.00,49968.00,53228.00,55028.00,50552.00,50060.00,41776.00,37600.00,0,0,0,0,0,4301.92,4738.24,4990.72,4990.72,0,0,0,2934.98,2617.29,3261.66,2953.04,3370.72,4274.82,4449.64,4755.62,4229.52,3609.64,3007.56,2703.11,2288.16,2542.40,2796.64,2796.64,3050.88,3050.88,3305.12,3050.88,3305.12,3305.12,2796.64,2796.64,5223.14,5159.69,6058.30,5749.68,6421.60,11627.62,12493.00,12797.22,12525.36,6914.76,5804.20,5499.75
UWPV78,222223.68,8223.90,17440.71,15051.01,40715.63,22436.00,20925.60,18277.60,16968.80,17717.28,18325.60,20141.60,21548.80,19269.60,18944.00,14004.00,13664.80,0,0,0,0,0,1959.52,2071.30,2083.55,2109.54,0,0,0,1619.44,1510.46,1340.05,1229.87,1292.47,1662.75,1767.42,1934.38,1697.03,1378.31,1019.15,989.38,1372.90,1423.74,1322.05,1220.35,1169.50,1220.35,1271.20,1271.20,1322.05,1322.05,1067.81,1067.81,2992.34,2934.21,2662.10,2450.22,2461.97,4842.62,5109.92,5289.14,5128.61,2700.36,2086.96,2057.19
UYIFS3,321097.60,6546.27,23646.24,11237.41,41429.92,24697.60,22337.60,25618.40,25197.20,26412.00,27312.80,31018.80,31057.20,29000.40,28596.00,25030.80,24818.80,0,0,0,0,0,1633.50,1639.63,1633.50,1639.63,0,0,0,1731.12,1566.95,1810.03,1768.60,1867.79,2204.38,2415.65,2505.53,2264.49,2018.60,1759.66,1733.42,788.14,864.42,991.54,940.69,966.11,966.11,966.11,966.11,966.11,966.11,940.69,915.26,2519.26,2431.36,2801.57,2709.29,2833.91,4804.00,5021.39,5105.15,4870.24,2984.71,2700.35,2648.69
UYWVE4,252507.20,7784.88,18897.63,12915.39,39597.90,13842.00,13230.00,16508.80,19111.60,19827.60,23888.00,31730.00,32434.80,27307.20,23594.00,16884.40,14148.80,0,0,0,0,0,1889.90,1876.91,2086.00,1932.06,0,0,0,964.83,928.74,1175.05,1351.43,1406.32,1949.84,2479.82,2609.87,2163.68,1681.19,1196.58,990.29,864.42,864.42,889.84,991.54,1067.81,1144.08,1118.66,1652.56,1169.50,1271.20,991.54,889.84,1829.24,1793.15,2064.89,2342.97,2474.13,4983.83,5475.39,6348.43,5265.25,2952.39,2188.11,1880.13
UZVVW8,283663.20,8509.97,21407.55,13830.66,43748.18,18264.00,16581.20,20911.20,24346.40,20946.00,20746.80,23340.40,31014.40,29761.20,28915.60,25344.40,23491.60,0,0,0,0,0,1716.85,2028.40,2335.30,2429.42,0,0,0,1277.88,1163.70,1481.02,1708.54,1492.54,1750.42,1941.89,2623.41,2432.54,2064.75,1807.11,1663.74,813.57,788.14,889.84,966.11,1042.38,1093.23,1271.20,1500.02,1576.29,1601.71,1144.08,1144.08,2091.45,1951.84,2370.86,2674.65,2534.92,4560.50,5241.49,6458.72,6438.26,3666.46,2951.19,2807.82
V012X6,413846.40,10777.12,31468.02,19729.02,61974.16,34844.00,31756.80,36216.00,35056.00,37214.40,36360.80,36596.80,37927.20,34347.20,34184.00,30946.40,28396.80,0,0,0,0,0,2697.34,2672.83,2709.60,2697.34,0,0,0,2473.22,2256.59,2595.32,2495.04,2662.78,3073.37,3052.29,3275.24,2875.01,2454.25,2222.76,2032.17,1474.59,1525.44,1627.14,1677.98,1677.98,1728.83,1728.83,1728.83,1728.83,1932.22,1474.59,1423.74,3947.81,3782.03,4222.45,4173.02,4340.76,7499.54,7453.96,7713.67,7301.19,4386.47,3697.35,3455.91
V0Q1XL,205428.80,7843.97,15852.79,12610.30,36307.07,16158.40,14393.60,17275.20,16587.20,15841.60,16916.80,20296.00,21595.20,19310.40,18507.20,14331.20,14216.00,0,0,0,0,0,1699.20,1873.73,2222.78,2048.26,0,0,0,1140.93,1018.28,1238.46,1182.00,1139.92,1478.90,1727.99,1902.81,1653.51,1336.43,1026.65,1006.93,711.87,813.57,915.26,1016.96,1016.96,1118.66,1220.35,1423.74,1322.05,1322.05,915.26,813.57,1852.80,1831.84,2153.72,2198.96,2156.88,4296.75,4822.07,5549.34,5023.81,2658.48,1941.92,1820.49
V2V7OS,228846.40,9991.74,18122.49,16271.36,44385.59,16715.20,15592.80,18030.40,15842.40,17479.20,19818.40,23395.20,25581.60,21715.20,21652.00,16996.80,16027.20,0,0,0,0,0,2147.78,2397.31,2735.58,2711.07,0,0,0,1204.50,1124.66,1317.42,1152.03,1276.43,1786.29,2069.93,2326.13,1905.61,1570.98,1232.55,1155.95,1322.05,1220.35,1220.35,1118.66,1169.50,1423.74,1525.44,1779.68,1779.68,1576.29,1067.81,1067.81,2526.55,2345.01,2537.77,2270.69,2445.93,5357.81,5992.68,6841.40,6396.36,3147.27,2300.35,2223.76
V3K8KV,454241.07,11821.82,33921.89,20084.96,65828.68,29241.60,27397.60,34283.20,34422.67,29045.60,38295.20,50180.80,51407.20,45704.80,44668.00,32943.20,36651.20,0,0,0,0,0,2992.96,2917.95,3067.97,2842.94,0,0,0,2073.47,1941.96,2456.00,2441.13,2077.19,3143.53,3928.72,4164.21,3609.01,3163.69,2333.78,2589.20,1474.59,1423.74,1576.29,1576.29,1576.29,1830.53,1779.68,1830.53,1728.83,1830.53,1830.53,1627.14,3548.06,3365.71,4032.29,4017.42,3653.48,7967.02,8626.36,9062.71,8180.78,4994.21,4164.31,4216.34
V5QSD8,460615.60,10173.12,34111.42,17593.41,61877.95,33356.40,31276.40,37790.80,38221.60,39843.20,41816.40,43484.40,43257.60,41331.60,39936.40,35922.40,34378.40,0,0,0,0,0,2611.79,2518.40,2562.03,2480.90,0,0,0,2341.90,2197.54,2680.13,2692.34,2823.92,3402.94,3416.41,3520.22,3260.81,2825.45,2537.46,2412.30,1347.47,1347.47,1474.59,1474.59,1525.44,1576.29,1525.44,1500.02,1525.44,1525.44,1423.74,1347.47,3689.37,3545.02,4154.72,4166.93,4349.36,7591.02,7460.25,7582.27,7267.14,4350.89,3961.20,3759.77
V6VHRK,536905.92,13730.64,40125.30,26024.01,79879.95,43670.28,36979.56,48262.08,47005.32,41768.76,41585.52,44495.04,48367.92,47821.32,51974.88,43428.96,41546.28,0,0,0,0,0,3099.30,3105.99,3620.09,3905.27,0,0,0,3083.01,2611.13,3433.96,3320.47,2974.30,3450.93,3577.19,4008.09,3891.77,3713.94,3104.57,2955.94,1998.33,1784.76,2135.62,2013.58,1944.94,1960.19,2044.09,2295.79,2494.09,3165.29,2150.87,2036.46,5081.33,4395.90,5569.58,5334.05,4919.23,8510.41,8727.27,9923.97,10291.13,6879.23,5255.44,4992.40
V769FM,534748.00,17730.30,40972.47,28678.27,87381.04,36054.40,34260.80,42134.40,41104.00,43995.20,48201.60,54737.60,55564.80,49945.60,46340.80,42171.20,40237.60,0,0,0,0,0,4047.49,4418.11,4372.03,4892.67,0,0,0,2577.66,2452.04,3038.89,2937.86,3161.88,4117.21,4536.93,4743.06,4159.52,3331.10,3033.13,2883.19,1932.22,1932.22,2033.92,2033.92,2237.31,2644.10,2847.49,2847.49,3050.88,2847.49,2237.31,2033.92,4509.88,4384.27,5072.81,4971.78,5399.19,10808.80,11802.53,11962.58,12103.08,6178.58,5270.44,4917.11
V8CWWZ,499374.06,15888.39,38306.60,26943.08,81138.07,24518.58,35212.08,45810.42,44944.56,43233.42,40708.20,46418.52,51199.32,46909.68,44870.64,40331.10,35217.54,0,0,0,0,0,3352.63,3400.39,4547.53,4587.83,0,0,0,1794.25,2547.25,3337.97,3238.71,3134.42,3508.02,3838.28,4392.55,3890.82,3226.77,2882.41,2515.15,2074.60,2169.94,2250.02,2215.70,2208.07,1979.26,2009.77,2707.66,2734.35,2505.54,2208.07,1880.10,3868.85,4717.19,5587.99,5454.41,5342.50,8839.91,9248.44,11647.74,11213.01,5732.30,5090.49,4395.25
VATNSL,342289.60,10030.46,25991.95,16169.66,52192.07,25409.60,23560.00,29478.40,29144.00,30483.20,31924.80,33964.80,35313.60,31216.00,29926.40,21489.60,20379.20,0,0,0,0,0,2495.36,2519.87,2544.38,2470.85,0,0,0,1815.59,1685.81,2118.26,2075.68,2183.00,2687.90,2770.76,2975.66,2557.42,2138.99,1535.62,1447.25,1220.35,1220.35,1322.05,1322.05,1423.74,1525.44,1525.44,1525.44,1525.44,1525.44,1016.96,1016.96,3035.94,2906.17,3440.31,3397.73,3606.74,6708.70,6816.07,7045.49,6553.71,3664.43,2552.58,2464.21
VB5OX8,407713.60,14254.94,31517.04,24407.04,70179.02,28577.60,28901.60,32902.40,31787.20,35589.60,36940.80,39686.40,41422.40,36837.60,35198.40,31822.40,28047.20,0,0,0,0,0,3386.14,3572.93,3660.19,3635.68,0,0,0,2078.28,2096.46,2399.68,2291.12,2574.64,3193.16,3335.94,3582.71,3091.34,2540.55,2305.55,2027.61,1677.98,1932.22,1830.53,1983.07,1983.07,2237.31,2339.01,2491.55,2389.86,1983.07,1881.38,1677.98,3756.27,4028.68,4230.20,4274.20,4557.71,8816.62,9247.88,9734.45,9116.88,4523.62,4186.92,3705.59
VBU10J,352870.40,10057.92,26475.28,16373.06,52906.26,26427.20,24372.80,27014.40,25739.20,30088.00,34985.60,38896.00,39417.60,32948.80,28187.20,22537.60,22256.00,0,0,0,0,0,2446.34,2495.36,2620.86,2495.36,0,0,0,1864.91,1729.28,1933.49,1831.23,2149.69,2862.08,3063.16,3207.33,2647.67,2013.81,1602.16,1570.48,1118.66,1220.35,1322.05,1220.35,1423.74,1525.44,1627.14,1627.14,1627.14,1423.74,1220.35,1016.96,2983.57,2949.64,3255.53,3051.58,3573.43,6833.86,7185.66,7455.33,6770.17,3437.55,2822.51,2587.44
VCDWOF,533771.40,15407.05,40926.76,26931.64,83265.46,39895.44,36862.44,44758.56,41671.92,43773.84,45942.48,51535.56,54418.20,48694.92,49787.40,40411.92,36018.72,0,0,0,0,0,3528.16,3891.88,4028.07,3958.94,0,0,0,2853.89,2645.39,3239.73,2987.98,3154.68,3952.21,4278.63,4672.43,4073.10,3586.84,2906.07,2575.81,2059.34,2059.34,2166.12,2074.60,2051.72,2189.01,2349.18,2455.96,2433.08,2829.69,2349.18,1914.43,4913.24,4704.73,5405.85,5062.58,5206.39,9669.38,10519.69,11156.46,10465.12,6416.53,5255.25,4490.24
VDZVCD,257779.73,8239.10,19558.62,13932.35,41730.07,19641.60,18420.80,21088.00,20073.60,20614.93,22267.20,24814.40,25416.00,23032.00,23646.40,19409.60,19355.20,0,0,0,0,0,1947.26,2222.78,2097.28,1971.78,0,0,0,1392.52,1307.96,1509.50,1429.75,1478.31,1889.78,2043.44,2162.22,1899.99,1692.15,1385.75,1367.27,915.26,1016.96,1118.66,1118.66,1220.35,1220.35,1423.74,1322.05,1220.35,1322.05,1016.96,1016.96,2307.78,2324.92,2628.15,2548.40,2698.66,5057.39,5689.97,5581.54,5092.12,3014.20,2402.71,2384.23
VEHUN7,200465.60,6852.19,15294.14,9762.82,31909.15,12790.40,11570.40,15945.60,15148.80,17591.20,22070.40,23348.00,23048.80,18324.80,15932.00,12770.40,11924.80,0,0,0,0,0,1797.25,1722.24,1709.98,1622.72,0,0,0,905.27,820.73,1137.17,1074.65,1260.29,1862.26,1900.73,1940.51,1506.63,1136.51,908.04,841.35,508.48,559.33,813.57,711.87,966.11,1118.66,1067.81,1067.81,1016.96,813.57,661.02,457.63,1413.75,1380.05,1950.74,1786.52,2226.40,4778.16,4690.78,4718.30,4146.31,1950.08,1569.06,1298.98
VEJ163,424739.20,11931.65,31853.14,20542.59,64327.38,41489.60,33728.00,34502.40,30788.80,31865.60,32115.20,37667.20,38964.80,37518.40,38019.20,32902.40,35177.60,0,0,0,0,0,2470.85,3070.91,3294.46,3095.42,0,0,0,2913.57,2373.76,2450.65,2173.56,2268.50,2681.47,3089.51,3313.94,3072.82,2718.94,2328.37,2468.05,1627.14,1627.14,1525.44,1322.05,1525.44,1525.44,1932.22,2033.92,1932.22,2440.70,1525.44,1525.44,4540.71,4000.89,3976.09,3495.61,3793.94,6677.76,8092.65,8642.33,8100.47,5159.64,3853.81,3993.49
VG8PYO,382215.65,7638.73,27760.89,13796.97,49196.59,31213.44,29805.38,32358.61,31807.30,30649.49,31347.32,30604.15,30110.71,33270.55,33648.53,33833.43,33566.74,0,0,0,0,0,1850.35,1867.38,2039.86,1881.13,0,0,0,2182.50,2083.93,2277.36,2221.85,2155.10,2454.56,2358.22,2407.98,2552.33,2360.12,2366.96,2339.97,1040.48,1116.75,1138.36,1177.77,1131.37,1116.75,1144.08,1280.73,1130.73,1181.58,1185.39,1152.98,3222.98,3200.68,3415.72,3399.62,3286.47,5421.66,5369.69,5728.57,5564.20,3541.70,3552.36,3492.95
VGZ25O,386659.73,13979.90,29899.43,24101.95,67981.28,34212.80,30257.60,30916.80,31531.20,32655.47,34295.47,36654.40,37112.00,30489.60,32582.40,26880.00,29072.00,0,0,0,0,0,3520.96,3468.99,3744.51,3245.44,0,0,0,2484.65,2190.60,2247.50,2265.04,2366.35,2970.94,3112.78,3243.70,2605.26,2353.17,1949.44,2110.00,1932.22,2033.92,1728.83,1830.53,1830.53,2237.31,2135.62,2339.01,2339.01,2033.92,1830.53,1830.53,4416.88,4224.52,3976.34,4095.57,4196.88,8729.22,8717.39,9327.22,8189.70,4387.09,3779.96,3940.53
VHGT2J,208491.19,6172.80,15905.60,10194.39,32272.78,16611.95,16346.75,19709.60,16999.63,16465.44,17275.81,22852.74,19337.35,14617.09,19846.38,12045.18,16383.27,0,0,0,0,0,1531.25,1621.57,1671.75,1348.22,0,0,0,1187.84,1172.39,1429.36,1222.09,1187.64,1473.53,1912.26,1647.89,1216.26,1424.05,862.14,1170.15,848.53,895.56,910.81,905.73,692.80,903.82,950.86,980.10,806.58,853.61,679.46,766.53,2036.37,2067.95,2340.17,2127.82,1880.44,3908.61,4484.69,4299.73,3371.06,2277.66,1541.59,1936.69
VHVZYC,201897.20,8083.46,16220.96,14974.74,39279.15,13885.20,12676.40,13584.00,14326.00,17099.60,18242.80,21032.00,21941.60,19112.40,19111.20,16451.60,14434.40,0,0,0,0,0,1898.98,2092.62,2080.37,2011.49,0,0,0,1012.34,924.59,988.60,1038.57,1248.31,1665.02,1917.72,2038.61,1735.50,1400.89,1200.30,1050.52,1144.08,1144.08,1042.38,1245.78,1194.93,1245.78,1372.90,1372.90,1322.05,1500.02,1194.93,1194.93,2156.42,2068.67,2030.98,2284.35,2443.24,4809.77,5383.24,5491.87,5069.03,2900.91,2395.23,2245.45
VI286A,623166.40,20964.45,47762.31,30712.19,99438.95,40385.60,42745.60,53291.20,47094.40,46496.00,53464.00,64215.20,67066.40,58501.60,60721.60,49135.20,40049.60,0,0,0,0,0,5500.58,5026.02,5387.33,5050.53,0,0,0,2861.89,3018.70,3790.13,3347.71,3353.20,4646.52,5416.41,5801.68,4823.38,4339.72,3496.74,2866.23,1881.38,2135.62,2237.31,2288.16,2339.01,3305.12,3000.03,3203.42,3000.03,3000.03,2237.31,2084.77,4743.27,5154.31,6027.44,5635.87,5692.21,13452.22,13442.46,14392.43,12873.94,7339.75,5734.06,4951.00
