DateTime,Usage_KWH,UniqueID
2/29/2016 22:30,58.2,string
2/29/2016 22:45,54.6,string
2/29/2016 23:00,52.8,string
2/29/2016 23:15,53.4,string
2/29/2016 23:30,51,string
2/29/2016 23:45,47.4,string
3/1/2016 0:00,47.4,string
3/1/2016 0:15,45.6,string
3/1/2016 0:30,47.4,string
3/1/2016 0:45,47.4,string
3/1/2016 1:00,46.8,string
3/1/2016 1:15,46.2,string
3/1/2016 1:30,45.6,string
3/1/2016 1:45,48,string
3/1/2016 2:00,46.2,string
3/1/2016 2:15,47.4,string
3/1/2016 2:30,45.6,string
3/1/2016 2:45,46.8,string
3/1/2016 3:00,47.4,string
3/1/2016 3:15,46.8,string
3/1/2016 3:30,48,string
3/1/2016 3:45,49.8,string
3/1/2016 4:00,51,string
3/1/2016 4:15,50.4,string
3/1/2016 4:30,49.8,string
3/1/2016 4:45,51.6,string
3/1/2016 5:00,51,string
3/1/2016 5:15,55.8,string
3/1/2016 5:30,61.2,string
3/1/2016 5:45,65.4,string
3/1/2016 6:00,65.4,string
3/1/2016 6:15,67.2,string
3/1/2016 6:30,70.2,string
3/1/2016 6:45,72,string
3/1/2016 7:00,75,string
3/1/2016 7:15,73.8,string
3/1/2016 7:30,75.6,string
3/1/2016 7:45,75.6,string
3/1/2016 8:00,76.8,string
3/1/2016 8:15,75.6,string
3/1/2016 8:30,78.6,string
3/1/2016 8:45,83.4,string
3/1/2016 9:00,85.2,string
3/1/2016 9:15,84,string
3/1/2016 9:30,87.6,string
3/1/2016 9:45,92.4,string
3/1/2016 10:00,91.2,string
3/1/2016 10:15,97.2,string
3/1/2016 10:30,102,string
3/1/2016 10:45,96,string
3/1/2016 11:00,97.2,string
3/1/2016 11:15,102.6,string
3/1/2016 11:30,94.8,string
3/1/2016 11:45,105,string
3/1/2016 12:00,102.6,string
3/1/2016 12:15,92.4,string
3/1/2016 12:30,99,string
3/1/2016 12:45,102.6,string
3/1/2016 13:00,103.8,string
3/1/2016 13:15,98.4,string
3/1/2016 13:30,102.6,string
3/1/2016 13:45,97.2,string
3/1/2016 14:00,99,string
3/1/2016 14:15,100.8,string
3/1/2016 14:30,96.6,string
3/1/2016 14:45,103.2,string
3/1/2016 15:00,105.6,string
3/1/2016 15:15,106.2,string
3/1/2016 15:30,105.6,string
3/1/2016 15:45,101.4,string
3/1/2016 16:00,97.2,string
3/1/2016 16:15,94.2,string
3/1/2016 16:30,100.8,string
3/1/2016 16:45,97.8,string
3/1/2016 17:00,103.2,string
